EmployeeKey,FirstName,LastName,MiddleName,HireDate,BirthDate,EmailAddress,Phone,MaritalStatus,EmergencyContactName,EmergencyContactPhone,SalariedFlag,Gender,PayFrequency,BaseRate,VacationHours,SickLeaveHours,CurrentFlag,SalesPersonFlag,DepartmentName,StartDate,EndDate,Status
1,Guy,Gilbert,R,1/28/2006,11/12/1981,guy1@adventure-works.com,320-555-0195,M,Guy Gilbert,320-555-0195,0,M,1,12.45,21,30,1,0,Production,1/28/2006,NULL,Current
2,Kevin,Brown,F,8/26/2006,12/1/1986,kevin0@adventure-works.com,150-555-0189,S,Kevin Brown,150-555-0189,0,M,2,13.4615,42,41,1,0,Marketing,8/26/2006,NULL,Current
3,Roberto,Tamburello,NULL,6/11/2007,6/12/1974,roberto0@adventure-works.com,212-555-0187,M,Roberto Tamburello,212-555-0187,1,M,2,43.2692,2,21,1,0,Engineering,6/11/2007,NULL,Current
4,Rob,Walters,NULL,7/5/2007,7/23/1974,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,0,M,2,29.8462,48,80,1,0,Tool Design,7/5/2007,12/28/2009,NULL
5,Rob,Walters,NULL,7/5/2007,7/23/1974,rob0@adventure-works.com,612-555-0100,S,Rob Walters,612-555-0100,0,M,2,29.8462,48,80,1,0,Tool Design,12/28/2009,NULL,Current
6,Thierry,D'Hers,B,7/11/2007,2/26/1959,thierry0@adventure-works.com,168-555-0183,M,Thierry D'Hers,168-555-0183,0,M,2,25,9,24,1,0,Tool Design,7/11/2007,NULL,Current
7,David,Bradley,M,7/20/2007,10/17/1974,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,1,M,2,37.5,40,40,1,0,Marketing,7/20/2007,2/11/2009,NULL
8,David,Bradley,M,7/20/2007,10/17/1974,david0@adventure-works.com,913-555-0172,S,David Bradley,913-555-0172,1,M,2,37.5,40,40,1,0,Marketing,2/12/2009,NULL,Current
9,JoLynn,Dobney,M,7/26/2007,8/16/1955,jolynn0@adventure-works.com,903-555-0145,S,JoLynn Dobney,903-555-0145,0,F,2,25,82,61,1,0,Production,7/26/2007,NULL,Current
10,Ruth,Ellerbrock,Ann,8/6/2007,1/3/1956,ruth0@adventure-works.com,145-555-0130,M,Ruth Ellerbrock,145-555-0130,0,F,1,13.45,83,61,1,0,Production,8/6/2007,NULL,Current
11,Gail,Erickson,A,8/6/2007,4/27/1952,gail0@adventure-works.com,849-555-0139,M,Gail Erickson,849-555-0139,1,F,2,32.6923,5,22,1,0,Engineering,8/6/2007,NULL,Current
12,Barry,Johnson,K,8/7/2007,10/25/1955,barry0@adventure-works.com,206-555-0180,S,Barry Johnson,206-555-0180,0,M,1,13.45,88,64,1,0,Production,8/7/2007,NULL,Current
13,Jossef,Goldberg,H,8/24/2007,10/9/1958,jossef0@adventure-works.com,122-555-0189,M,Jossef Goldberg,122-555-0189,1,M,2,32.6923,6,23,1,0,Engineering,8/24/2007,NULL,Current
