BusinessEntityID,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,VacationHours,BusinessEntityID (1),FirstName,LastName
1,Chief Executive Officer,1969-01-29,S,M,2009-01-14,99,1,Ken,Sánchez
2,Vice President of Engineering,1971-08-01,S,F,2008-01-31,1,2,Terri,Duffy
3,Engineering Manager,1974-11-12,M,M,2007-11-11,2,3,Roberto,Tamburello
4,Senior Tool Designer,1974-12-23,S,M,2007-12-05,48,4,Rob,Walters
5,Design Engineer,1952-09-27,M,F,2008-01-06,5,5,Gail,Erickson
6,Design Engineer,1959-03-11,M,M,2008-01-24,6,6,Jossef,Goldberg
7,Research and Development Manager,1987-02-24,M,M,2009-02-08,61,7,Dylan,Miller
8,Research and Development Engineer,1986-06-05,S,F,2008-12-29,62,8,Diane,Margheim
9,Research and Development Engineer,1979-01-21,M,F,2009-01-16,63,9,Gigi,Matthew
10,Research and Development Manager,1984-11-30,M,M,2009-05-03,16,10,Michael,Raheem
11,Senior Tool Designer,1978-01-17,S,M,2010-12-05,7,11,Ovidiu,Cracium
12,Tool Designer,1959-07-29,M,M,2007-12-11,9,12,Thierry,D'Hers
13,Tool Designer,1989-05-28,M,F,2010-12-23,8,13,Janice,Galvin
14,Senior Design Engineer,1979-06-16,S,M,2010-12-30,3,14,Michael,Sullivan
15,Design Engineer,1961-05-02,M,F,2011-01-18,4,15,Sharon,Salavaria
16,Marketing Manager,1975-03-19,S,M,2007-12-20,40,16,David,Bradley
17,Marketing Assistant,1987-05-03,S,M,2007-01-26,42,17,Kevin,Brown
18,Marketing Specialist,1978-03-06,S,M,2011-02-07,48,18,John,Wood
19,Marketing Assistant,1978-01-29,S,F,2011-02-14,43,19,Mary,Dempsey
20,Marketing Assistant,1975-03-17,M,F,2011-01-07,41,20,Wanida,Benshoof
21,Marketing Specialist,1986-02-04,M,M,2009-03-02,44,21,Terry,Eminhizer
22,Marketing Specialist,1987-05-21,S,M,2008-12-12,45,22,Sariya,Harnpadoungsataya
23,Marketing Specialist,1962-09-13,M,F,2009-01-12,46,23,Mary,Gibson
24,Marketing Specialist,1979-06-18,M,F,2009-01-18,47,24,Jill,Williams
25,Vice President of Production,1983-01-07,S,M,2009-02-03,64,25,James,Hamilton
26,Production Control Manager,1982-11-03,M,M,2008-12-01,43,26,Peter,Krebs
27,Production Supervisor - WC60,1956-10-08,S,F,2008-02-27,80,27,Jo,Brown
28,Production Technician - WC60,1988-03-13,M,M,2006-06-30,21,28,Guy,Gilbert
29,Production Technician - WC60,1979-09-25,S,M,2009-01-23,19,29,Mark,McArthur
30,Production Technician - WC60,1989-09-28,M,F,2009-01-29,14,30,Britta,Simon
31,Production Technician - WC60,1986-05-20,M,F,2009-01-04,18,31,Margie,Shoop
32,Production Technician - WC60,1977-07-10,M,F,2008-12-29,23,32,Rebecca,Laszlo
33,Production Technician - WC60,1976-12-26,M,M,2008-12-17,17,33,Annik,Stahl
34,Production Technician - WC60,1987-06-10,M,F,2009-02-16,15,34,Suchitra,Mohan
35,Production Technician - WC60,1977-01-10,M,M,2009-02-08,22,35,Brandon,Heidepriem
36,Production Technician - WC60,1984-07-31,M,M,2009-02-10,20,36,Jose,Lugo
37,Production Technician - WC60,1986-08-07,S,M,2009-03-07,16,37,Chris,Okelberry
38,Production Technician - WC60,1966-12-14,M,F,2010-01-16,24,38,Kim,Abercrombie
39,Production Technician - WC60,1971-09-11,S,M,2010-02-05,25,39,Ed,Dudenhoefer
40,Production Supervisor - WC60,1956-01-16,S,F,2007-12-26,82,40,JoLynn,Dobney
41,Production Technician - WC60,1973-08-27,S,M,2009-01-21,35,41,Bryan,Baker
42,Production Technician - WC60,1984-07-25,M,M,2008-12-27,39,42,James,Kramer
43,Production Technician - WC60,1988-11-19,M,F,2009-01-02,34,43,Nancy,Anderson
44,Production Technician - WC60,1990-05-17,S,M,2008-12-08,38,44,Simon,Rapier
45,Production Technician - WC60,1986-01-10,M,M,2009-02-26,37,45,Thomas,Michaels
46,Production Technician - WC60,1976-02-10,S,M,2009-02-08,36,46,Eugene,Kogan
47,Production Supervisor - WC10,1988-09-06,S,M,2009-02-22,65,47,Andrew,Hill
48,Production Technician - WC10,1956-06-04,M,F,2008-01-06,83,48,Ruth,Ellerbrock
49,Production Technician - WC10,1956-03-26,S,M,2008-01-07,88,49,Barry,Johnson
50,Production Technician - WC10,1956-08-30,M,M,2008-02-02,84,50,Sidney,Higa
51,Production Technician - WC10,1956-07-11,S,M,2008-02-20,85,51,Jeffrey,Ford
52,Production Technician - WC10,1956-04-04,M,F,2008-03-10,86,52,Doris,Hartwig
53,Production Technician - WC10,1956-03-29,M,F,2008-03-28,87,53,Diane,Glimp
54,Production Technician - WC10,1986-09-10,M,F,2010-01-01,89,54,Bonnie,Kearney
55,Production Supervisor - WC50,1956-04-01,M,M,2008-02-08,79,55,Taylor,Maxwell
